batch_key,venue_id,expected_name,new_name,source_id,source_url,note
rename-michelin-2026-france-dashes,ve_0500893ff4,Villa Mirasol,Bistrot 1912,venue,https://www.villamirasol.fr/fr/restaurant-bistronomique,venue site titles the restaurant page Bistrot 1912; Villa Mirasol is the hotel
rename-michelin-2026-france-dashes,ve_12e5bf15ad,Restaurant Le Pré,Le Pré,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/clermont-ferrand/restaurant/le-pre-xavier-beaudiment,chef suffix dropped; venue site restaurant-lepre.com
rename-michelin-2026-france-dashes,ve_2bd91023d9,L'Atelier de Joël Robuchon Étoile,L'Atelier de Joël Robuchon - Étoile,michelin,https://guide.michelin.com/en/ile-de-france/paris/restaurant/l-atelier-de-joel-robuchon-etoile,dash is the branch name; venue site atelier-robuchon-etoile.com
rename-michelin-2026-france-dashes,ve_30501b82cb,Restaurant Nicolas Carro,Nicolas Carro,michelin,https://guide.michelin.com/en/bretagne/carantec/restaurant/nicolas-carro,hotel suffix dropped; venue site hotel-carantec.fr
rename-michelin-2026-france-dashes,ve_3a24173df2,Fresques,Les Fresques,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/evian-les-bains/restaurant/les-fresques400460,hotel suffix dropped; Michelin hotel block names Royal - Evian Resort
rename-michelin-2026-france-dashes,ve_4dd54878f0,Maison vidal,Maison Vidal - Le Bistrot de Justin,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/saint-julien-chapteuil/restaurant/maison-vidal-le-bistrot-de-justin,venue site title prints both names joined
rename-michelin-2026-france-dashes,ve_4e77c0295c,L’Auberge De Saint-Rémy,L'Auberge de Saint-Rémy,michelin,https://guide.michelin.com/en/provence-alpes-cote-dazur/saint-rmy-de-provence/restaurant/l-auberge-de-saint-remy-fanny-rey-and-jonathan-wahid,chef suffix dropped
rename-michelin-2026-france-dashes,ve_52ded554a8,Ryoko - Comptoir à Ramen,Ryoko - Comptoir à ramen,michelin,https://guide.michelin.com/en/bretagne/vannes/restaurant/ryoko,own name; case only
rename-michelin-2026-france-dashes,ve_54db80a526,La Table By Mi - K'L,La Table By Mi-K'L,michelin,https://guide.michelin.com/en/pays-de-la-loire/saumur/restaurant/la-table-by-mi-k-l,no spaced dash on the Michelin card
rename-michelin-2026-france-dashes,ve_6461b9da4d,Kodawari Ramen (Yokochō),Kodawari Ramen - Yokochō,michelin,https://guide.michelin.com/en/ile-de-france/paris/restaurant/kodawari-ramen,Yokochō is the branch; venue site does not resolve
rename-michelin-2026-france-dashes,ve_82af616d87,Le Restaurant Téjérina,Téjérina,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/polliat/restaurant/tejerina-hotel-de-la-place,hotel suffix dropped
rename-michelin-2026-france-dashes,ve_a0adf5e745,Restaurant Le Cin5,Le Cin5,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/la-clusaz/restaurant/le-cinq,hotel suffix dropped; Michelin hotel block names Au Cœur du Village
rename-michelin-2026-france-dashes,ve_bbccd34af8,Table Bruno Verjus,Table,michelin,https://guide.michelin.com/en/ile-de-france/paris/restaurant/table-bruno-verjus,chef suffix dropped; venue site table.paris
rename-michelin-2026-france-dashes,ve_c09c6dfd4d,Restaurant Christophe Hay,Christophe Hay,michelin,https://guide.michelin.com/en/centre-val-de-loire/blois/restaurant/christophe-hay-fleur-de-loire,hotel suffix dropped; Michelin hotel block names Fleur de Loire
rename-michelin-2026-france-dashes,ve_d89d0b6d74,JU-Maison de Cuisine,JU - Maison de Cuisine,michelin,https://guide.michelin.com/en/provence-alpes-cote-dazur/bonnieux/restaurant/ju-maison-de-cuisine,own name; venue site ju-maisondecuisine.com
rename-michelin-2026-france-dashes,ve_ea838a498e,Restaurant Le Gabriel,Le Gabriel,michelin,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-gabriel476630,hotel suffix dropped; Michelin hotel block names La Réserve Paris
rename-michelin-2026-france-dashes,ve_f8977eb5ab,AU LION D'OR,Au Lion d'Or,venue,https://www.auliondor-rosenau.com/,venue site names itself Lion d'Or only
