batch_key,source_id,year,rank,category,distinction,source_url,venue_name,city_label,country_label,venue_category,venue_status,price_symbol_raw,note,michelin_guide,name_native_michelin
michelin-2026-japan,michelin,2026,,Three Stars,,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurant/kagurazaka-ishikawa,Kagurazaka Ishikawa,Tokyo,Japan,restaurant,,¥¥¥¥,,tokyo-2026,神楽坂 石かわ
michelin-2026-japan,michelin,2026,,Three Stars,,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurant/kanda,Kanda,Tokyo,Japan,restaurant,,¥¥¥¥,,tokyo-2026,かんだ
michelin-2026-japan,michelin,2026,,Three Stars,,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurant/l-osier,L'OSIER,Tokyo,Japan,restaurant,,¥¥¥¥,,tokyo-2026,ロオジエ
michelin-2026-japan,michelin,2026,,Three Stars,,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurant/ryugin-1194232,RyuGin,Tokyo,Japan,restaurant,,¥¥¥¥,,tokyo-2026,龍吟
michelin-2026-japan,michelin,2026,,Three Stars,,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurant/harutaka,Harutaka,Tokyo,Japan,restaurant,,¥¥¥¥,,tokyo-2026,青空
michelin-2026-japan,michelin,2026,,Three Stars,,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurant/azabu-kadowaki,Azabu Kadowaki,Tokyo,Japan,restaurant,,¥¥¥¥,,tokyo-2026,麻布 かどわき
michelin-2026-japan,michelin,2026,,Three Stars,,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurant/myojaku,Myojaku,Tokyo,Japan,restaurant,,¥¥¥¥,,tokyo-2026,明寂
michelin-2026-japan,michelin,2026,,Three Stars,,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurant/l-effervescence,L'Effervescence,Tokyo,Japan,restaurant,,¥¥¥¥,,tokyo-2026,レフェルヴェソンス
michelin-2026-japan,michelin,2026,,Three Stars,,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurant/joel-robuchon-1193981,Joël Robuchon,Tokyo,Japan,restaurant,,¥¥¥¥,,tokyo-2026,ジョエル・ロブション
michelin-2026-japan,michelin,2026,,Three Stars,,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurant/sazenka,Sazenka,Tokyo,Japan,restaurant,,¥¥¥¥,,tokyo-2026,茶禅華
